Category,Product,Price,Storage_GB,Color,Chip,Spec_Text
iPhone,iPhone 16 Pro,549999,512,Unknown,Unknown,iPhone 16 Pro Unknown 512GB Unknown
iPhone,iPhone 16 Pro,449999,512,Unknown,Unknown,iPhone 16 Pro Unknown 512GB Unknown
iPhone,iPhone 16 Pro,535999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,479999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,379999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,409999,512,Unknown,Unknown,iPhone 16 Pro Unknown 512GB Unknown
iPhone,iPhone 16 Pro,494999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,439999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,359999,256,Unknown,Unknown,iPhone 16 Pro Unknown 256GB Unknown
iPhone,iPhone 16 Pro,454999,128,Unknown,Unknown,iPhone 16 Pro Unknown 128GB Unknown
iPhone,iPhone 16 Pro,404999,128,Unknown,Unknown,iPhone 16 Pro Unknown 128GB Unknown
iPhone,iPhone 16 Pro,319999,128,Unknown,Unknown,iPhone 16 Pro Unknown 128GB Unknown
